"store"	"depart"	"error"
22	10	218.074464677816
23	10	675.773098791894
24	10	395.394955471202
25	10	320.941514558316
26	10	182.439275476339
27	10	663.42478265754
28	10	259.173312244574
29	10	161.001782796997
30	10	11.4642111414659
31	10	262.608517856888
32	10	358.409478134011
33	10	202.663638025668
34	10	231.565251806718
35	10	203.514336990623
36	10	203.414376481436
37	10	7.73728361221474
38	10	6.42313667988526
39	10	241.00056512241
40	10	403.290900008171
41	10	266.909688947523
42	10	6.74280018966968
43	10	9.03177564174436
44	10	13.6942551410688
45	10	170.997681663946
1	11	763.400930490267
2	11	480.672270690709
3	11	325.711229839502
4	11	628.441785575883
5	11	108.387976940553
6	11	377.050880993192
7	11	365.201603118601
8	11	423.794813177771
9	11	233.300863405107
10	11	838.293786561735
11	11	221.406372635423
12	11	361.239322801083
13	11	226.217094154514
14	11	472.824168363064
15	11	515.158557266429
16	11	275.191207377215
17	11	338.508488353341
18	11	1051.18764197514
19	11	942.229580292299
20	11	756.33240687672
21	11	224.684295650288
22	11	790.955653772163
23	11	1435.36129392558
24	11	733.844741644473
25	11	243.955902439664
26	11	380.78073675282
27	11	764.189941593238
28	11	198.625723155812
29	11	280.283010970069
30	11	28.5663540184746
31	11	224.591858682248
32	11	193.241008718864
33	11	193.874874013687
34	11	325.225245957854
35	11	1093.94105343646
36	11	188.12800560494
37	11	44.2479586646441
38	11	15.965888509488
39	11	383.051288063754
40	11	382.372804027871
41	11	216.025092718759
42	11	18.8555397008077
43	11	28.8296993956105
44	11	25.4914526382781
45	11	468.190207288814
1	12	371.794124036081
2	12	138.419641324974
3	12	35.1805403676882
4	12	150.154289628444
5	12	27.866156775745
6	12	96.2356699213804
7	12	199.643390349699
8	12	165.736440728224
9	12	113.382411844093
10	12	228.002645748394
11	12	58.8911596128894
12	12	95.8245747569836
13	12	126.870166059635
14	12	75.8051911625582
15	12	53.4876953747737
16	12	100.494758168055
17	12	221.76866071457
18	12	59.8324744709995
19	12	122.196129142097
20	12	171.752321900161
21	12	67.742150961854
22	12	41.9104994064861
23	12	127.617697694257
24	12	72.2653150155388
25	12	58.68216918887
26	12	107.792282784858
27	12	56.7144773010194
28	12	58.4052510993315
29	12	39.5149677366537
30	12	3.52322668129283
31	12	69.3098983026848
32	12	58.9483133136469
33	12	67.9509741910803
34	12	107.69907982351
35	12	52.9935975569501
36	12	70.5093788041
37	12	5.15817201771912
38	12	2.5773419087942
39	12	47.6730839760001
40	12	83.5328880435671
41	12	53.0904245187267
42	12	3.16035335148828
43	12	2.85036361681593
44	12	3.61254503552795
45	12	38.1779838935195
1	13	274.001235411905
2	13	249.467185013097
3	13	70.373592353381
4	13	545.909645521682
5	13	54.8839643800212
6	13	233.408050490501
7	13	120.587012596052
8	13	155.133280653951
9	13	145.664457933097
10	13	499.890301702736
11	13	268.603599727755
12	13	422.914700999676
13	13	314.238937207784
14	13	542.936908488704
15	13	113.855547556976
16	13	108.68681657085
17	13	295.876828475577
18	13	369.948354082272
19	13	284.232286814794
20	13	385.109916748099
21	13	215.731709446388
22	13	253.11860705191
23	13	352.038809449656
24	13	210.666952021236
25	13	162.55927523033
26	13	130.998069926035
27	13	444.887677502538
28	13	333.205663263308
29	13	104.247338781733
30	13	74.9020812273447
31	13	291.849218850006
32	13	193.405850315255
33	13	29.8102331120445
34	13	144.078241369165
35	13	350.348874895991
36	13	82.7991757999608
37	13	87.2382641551785
38	13	48.3283580786879
39	13	499.155667138687
40	13	135.951377255081
41	13	262.728736746683
42	13	93.0574634027218
43	13	103.778942517298
44	13	30.8675774023748
45	13	165.655647798502
1	14	149.402077112508
2	14	217.615192719108
3	14	56.1767700888554
4	14	300.326555442751
5	14	47.5357841463493
6	14	258.385603747349
7	14	124.366420682424
8	14	127.168043202377
9	14	90.1209198000619
10	14	348.986280066303
11	14	230.980942193322
12	14	208.677396354387
13	14	297.138894114419
14	14	284.162239272257
15	14	141.977898433068
16	14	110.86435356291
17	14	289.985885724963
18	14	255.952556691512
19	14	240.912606678959
20	14	321.671582512353
21	14	191.328022694388
22	14	186.151061831282
23	14	368.744830480955
24	14	177.071270976988
25	14	154.733946124881
26	14	140.442190027586
27	14	292.527261954986
28	14	192.137983124453
29	14	114.713046823386
30	14	14.5251440385097
31	14	154.802404049508
32	14	143.701729850937
33	14	13.9274485242117
34	14	103.760692014092
35	14	401.670313989274
36	14	24.1561660031481
37	14	14.4254784360131
38	14	14.3880172824543
39	14	245.108473480046
40	14	169.772514613416
41	14	188.661012839981
